Benchmark Year,Month,Town,Metric,Value
2019,Dec 2019,HAMPTON,Unemployed,29
2019,Dec 2019,HARTFORD,Unemployed,2976
2019,Dec 2019,HARTLAND,Unemployed,34
2019,Dec 2019,HARWINTON,Unemployed,85
2019,Dec 2019,HEBRON,Unemployed,167
2019,Dec 2019,KENT,Unemployed,36
2019,Dec 2019,KILLINGLY,Unemployed,310
2019,Dec 2019,KILLINGWORTH,Unemployed,94
2019,Dec 2019,LEBANON,Unemployed,136
2019,Dec 2019,LEDYARD,Unemployed,186
2019,Dec 2019,LISBON,Unemployed,76
2019,Dec 2019,LITCHFIELD,Unemployed,129
2019,Dec 2019,LYME,Unemployed,16
2019,Dec 2019,MADISON,Unemployed,218
2019,Dec 2019,MANCHESTER,Unemployed,1056
2019,Dec 2019,MANSFIELD,Unemployed,388
2019,Dec 2019,MARLBOROUGH,Unemployed,104
2019,Dec 2019,MERIDEN,Unemployed,1290
2019,Dec 2019,MIDDLEBURY,Unemployed,96
2019,Dec 2019,MIDDLEFIELD,Unemployed,100
2019,Dec 2019,MIDDLETOWN,Unemployed,830
2019,Dec 2019,MILFORD,Unemployed,903
2019,Dec 2019,MONROE,Unemployed,323
2019,Dec 2019,MONTVILLE,Unemployed,311
2019,Dec 2019,MORRIS,Unemployed,31
2019,Dec 2019,NAUGATUCK,Unemployed,617
2019,Dec 2019,NEW BRITAIN,Unemployed,1703
2019,Dec 2019,NEW CANAAN,Unemployed,222
2019,Dec 2019,NEW FAIRFIELD,Unemployed,200
2019,Dec 2019,NEW HARTFORD,Unemployed,88
2019,Dec 2019,NEW HAVEN,Unemployed,2338
2019,Dec 2019,NEW LONDON,Unemployed,562
2019,Dec 2019,NEW MILFORD,Unemployed,443
2019,Dec 2019,NEWINGTON,Unemployed,490
2019,Dec 2019,NEWTOWN,Unemployed,353
2019,Dec 2019,NORFOLK,Unemployed,26
2019,Dec 2019,NORTH BRANFORD,Unemployed,225
2019,Dec 2019,NORTH CANAAN,Unemployed,54
2019,Dec 2019,NORTH HAVEN,Unemployed,380
2019,Dec 2019,NORTH STONINGTON,Unemployed,84
2019,Dec 2019,NORWALK,Unemployed,1530
2019,Dec 2019,NORWICH,Unemployed,714
2019,Dec 2019,OLD LYME,Unemployed,103
2019,Dec 2019,OLD SAYBROOK,Unemployed,132
2019,Dec 2019,ORANGE,Unemployed,176
2019,Dec 2019,OXFORD,Unemployed,200
2019,Dec 2019,PLAINFIELD,Unemployed,356
2019,Dec 2019,PLAINVILLE,Unemployed,357
2019,Dec 2019,PLYMOUTH,Unemployed,272
2019,Dec 2019,POMFRET,Unemployed,68
2019,Dec 2019,PORTLAND,Unemployed,181
2019,Dec 2019,PRESTON,Unemployed,80
2019,Dec 2019,PROSPECT,Unemployed,171
2019,Dec 2019,PUTNAM,Unemployed,174
2019,Dec 2019,REDDING,Unemployed,113
2019,Dec 2019,RIDGEFIELD,Unemployed,253
2019,Dec 2019,ROCKY HILL,Unemployed,286
2019,Dec 2019,ROXBURY,Unemployed,20
2019,Dec 2019,SALEM,Unemployed,77
2019,Dec 2019,SALISBURY,Unemployed,38
2019,Dec 2019,SCOTLAND,Unemployed,34
2019,Dec 2019,SEYMOUR,Unemployed,303
2019,Dec 2019,SHARON,Unemployed,25
2019,Dec 2019,SHELTON,Unemployed,747
2019,Dec 2019,SHERMAN,Unemployed,46
2019,Dec 2019,SIMSBURY,Unemployed,321
2019,Dec 2019,SOMERS,Unemployed,163
2019,Dec 2019,SOUTH WINDSOR,Unemployed,377
2019,Dec 2019,SOUTHBURY,Unemployed,273
2019,Dec 2019,SOUTHINGTON,Unemployed,686
2019,Dec 2019,SPRAGUE,Unemployed,71
2019,Dec 2019,STAFFORD,Unemployed,222
2019,Dec 2019,STAMFORD,Unemployed,2035
2019,Dec 2019,STERLING,Unemployed,86
2019,Dec 2019,STONINGTON,Unemployed,279
2019,Dec 2019,STRATFORD,Unemployed,1044
2019,Dec 2019,SUFFIELD,Unemployed,236
2019,Dec 2019,THOMASTON,Unemployed,154
2019,Dec 2019,THOMPSON,Unemployed,164
2019,Dec 2019,TOLLAND,Unemployed,209
2019,Dec 2019,TORRINGTON,Unemployed,683
2019,Dec 2019,TRUMBULL,Unemployed,498
2019,Dec 2019,UNION,Unemployed,13
2019,Dec 2019,VERNON,Unemployed,568
2019,Dec 2019,VOLUNTOWN,Unemployed,44
2019,Dec 2019,WALLINGFORD,Unemployed,706
2019,Dec 2019,WARREN,Unemployed,16
2019,Dec 2019,WASHINGTON,Unemployed,42
2019,Dec 2019,WATERBURY,Unemployed,2693
2019,Dec 2019,WATERFORD,Unemployed,296
2019,Dec 2019,WATERTOWN,Unemployed,389
2019,Dec 2019,WEST HARTFORD,Unemployed,834
2019,Dec 2019,WEST HAVEN,Unemployed,1030
2019,Dec 2019,WESTBROOK,Unemployed,114
2019,Dec 2019,WESTON,Unemployed,128
2019,Dec 2019,WESTPORT,Unemployed,308
2019,Dec 2019,WETHERSFIELD,Unemployed,387
2019,Dec 2019,WILLINGTON,Unemployed,87
2019,Dec 2019,WILTON,Unemployed,226
2019,Dec 2019,WINCHESTER,Unemployed,216
2019,Dec 2019,WINDHAM,Unemployed,551
2019,Dec 2019,WINDSOR,Unemployed,287
2019,Dec 2019,WINDSOR LOCKS,Unemployed,573
2019,Dec 2019,WOLCOTT,Unemployed,292
2019,Dec 2019,WOODBRIDGE,Unemployed,113
2019,Dec 2019,WOODBURY,Unemployed,150
2019,Dec 2019,WOODSTOCK,Unemployed,131
2019,Dec 2020,ANDOVER,Unemployed,110
2019,Dec 2020,ANSONIA,Unemployed,1045
2019,Dec 2020,ASHFORD,Unemployed,164
2019,Dec 2020,AVON,Unemployed,474
2019,Dec 2020,BARKHAMSTED,Unemployed,125
2019,Dec 2020,BEACON FALLS,Unemployed,210
2019,Dec 2020,BERLIN,Unemployed,709
2019,Dec 2020,BETHANY,Unemployed,187
2019,Dec 2020,BETHEL,Unemployed,699
2019,Dec 2020,BETHLEHEM,Unemployed,120
2019,Dec 2020,BLOOMFIELD,Unemployed,949
2019,Dec 2020,BOLTON,Unemployed,153
2019,Dec 2020,BOZRAH,Unemployed,136
2019,Dec 2020,BRANFORD,Unemployed,963
2019,Dec 2020,BRIDGEPORT,Unemployed,8138
2019,Dec 2020,BRIDGEWATER,Unemployed,49
2019,Dec 2020,BRISTOL,Unemployed,2766
2019,Dec 2020,BROOKFIELD,Unemployed,588
2019,Dec 2020,BROOKLYN,Unemployed,303
2019,Dec 2020,BURLINGTON,Unemployed,317
